бац межд.; предик.
тобо́лец мо 5*a
народово́лец мо 5*a
доброво́лец мо 5*a
1/голе́ц мо 5*b (_рыба_)
2/голе́ц м 5*b (_сопка_)
оголе́ц мо 5*b
колоко́лец м 5*a [//__колоколе́ц__ м 5*b]
богомо́лец мо 5*a
помо́лец мо 5*a (_тот, кто привез муку на мельницу_)
комсомо́лец мо 5*a
каргопо́лец мо 5*a
ставропо́лец мо 5*a
симферо́полец мо 5*a
севасто́полец мо 5*a
тиро́лец мо 5*a
орле́ц м 5b
барнау́лец мо 5*a
кабу́лец мо 5*a
стамбу́лец мо 5*a
ливерпу́лец мо 5*a
флец м 5a
дохле́ц м 5b (_падаль; тухлое яйцо_); мо 5b (_хилый человек_)
пришле́ц мо 5b
пошле́ц мо 5b
черно́былец мо 5*a
венесуэ́лец мо 5*a
стоя́лец мо 5*a
постоя́лец мо 5*a
амстерда́мец мо 5*a
сиа́мец мо 5*a
волокола́мец мо 5*a
пана́мец мо 5*a
анна́мец мо 5*a
вьетна́мец мо 5*a
саме́ц мо 5*b
зе́мец мо 5*a
чужезе́мец мо 5*a
своезе́мец мо 5*a
инозе́мец мо 5*a
тузе́мец мо 5*a
не́мец мо 5*a
люби́мец мо 5*a
роди́мец м 5*a (_родимчик_)
проходи́мец мо 5*a
стра̀нноприи́мец мо 5*a
мздои́мец мо 5*a
лихои́мец мо 5*a
уфи́мец мо 5*a
знако́мец мо 5*a
незнако́мец мо 5*a
хроме́ц мо 5*b
пито́мец мо 5*a
ду́мец мо 5*a
вольноду́мец мо 5*a
безу́мец мо 5*a
остроу́мец мо 5*a
бату́мец мо 5*a
суху́мец мо 5*a
шельме́ц мо 5b
стокго́льмец мо 5*a
упря́мец мо 5*a
алба́нец мо 5*a
куба́нец мо 5*a (_от_ Куба́нь)
гава́нец мо 5*a
ерева́нец мо 5*a
нахичева́нец мо 5*a
самозва́нец мо 5*a
лива́нец мо 5*a
фива́нец мо 5*a
карбо́ванец м 5*a
хитрова́нец мо 5*a
оборва́нец мо 5*a
сорване́ц мо 5*b
ява́нец мо 5*a
га́нец мо 5*a
кагане́ц м 5*b
тагане́ц м 5*b
пога́нец мо 5*a
ма́рганец м 5*a
фѐррома́рганец м 5*a
курга́нец мо 5*a
афга́нец мо 5*a (_житель Афганистана и др._); м 5*a (_ветер_)
магада́нец мо 5*a
па́данец м 5*a
иорда́нец мо 5*a
суда́нец мо 5*a
тихоокеа́нец мо 5*a
орлеа́нец мо 5*a
фихтеа́нец мо 5*a
ницшеа́нец мо 5*a
азербайджа́нец мо 5*a
ржане́ц м 5*b (_спорынья_)
аржане́ц м 5*b (_тимофеевка_)
каза́нец мо 5*a
пиза́нец мо 5*a
ряза́нец мо 5*a
фабиа́нец мо 5*a
гвиа́нец мо 5*a
шеллингиа́нец мо 5*a
картезиа́нец мо 5*a
мальтузиа́нец мо 5*a
нѐомальтузиа́нец мо 5*a
каутскиа́нец мо 5*a
берклиа́нец мо 5*a
никониа́нец мо 5*a
вегетариа́нец мо 5*a
пресвитериа́нец мо 5*a
термидориа́нец мо 5*a
преториа́нец мо 5*a
викториа́нец мо 5*a
кантиа́нец мо 5*a
нѐокантиа́нец мо 5*a
венециа́нец мо 5*a
цистерциа́нец мо 5*a
конфуциа́нец мо 5*a
фейербахиа́нец мо 5*a
гайа́нец мо 5*a
ма́канец м 5*a
республика́нец мо 5*a
англика́нец мо 5*a
доминика́нец мо 5*a
мартиника́нец мо 5*a
костарика́нец мо 5*a
америка́нец мо 5*a
ю̀жноамерика́нец мо 5*a
латѝноамерика́нец мо 5*a
сѐвероамерика́нец мо 5*a
а̀фроамерика́нец мо 5*a
пуэрторика́нец мо 5*a
африка́нец мо 5*a
мексика́нец мо 5*a
корсика́нец мо 5*a
марокка́нец мо 5*a
балка́нец мо 5*a
ска́нец м 5*a
франциска́нец мо 5*a
тоска́нец мо 5*a
мила́нец мо 5*a
сла́нец м 5*a (_горная порода_)
посла́нец мо 5*a
стла́нец м 5*a (_лен, расстилаемый по земле_)
фла́нец м 5*a
атама́нец мо 5*a
рѐторома́нец мо 5*a
герма́нец мо 5*a
бирма́нец мо 5*a
му́рманец мо 5*a
осма́нец мо 5*a
самоа́нец мо 5*a
шлёпанец м 5*a
испа́нец мо 5*a
ра́нец м 5*a
бара́нец м 5*a (_растение_)
табасара́нец мо 5*a
новобра́нец мо 5*a
ободра́нец мо 5*a
голодра́нец мо 5*a
протубера́нец м 5*a
тегера́нец мо 5*a
помера́нец м 5*a
ира́нец мо 5*a
кра́нец м 5*a
тра́нец м 5*a
чужестра́нец мо 5*a
иностра́нец мо 5*a
та́нец м 5*a (_вид искусства и др._)
неаполита́нец мо 5*a
брита́нец мо 5*a
великобрита́нец мо 5*a
маврита́нец мо 5*a
спарта́нец мо 5*a
повста́нец мо 5*a
дагеста́нец мо 5*a
пакиста́нец мо 5*a
никарагуа́нец мо 5*a
падуа́нец мо 5*a
перуа́нец мо 5*a
мантуа́нец мо 5*a
астраха́нец мо 5*a
ша́нец м 5*a
а́гнец мо 5*a
бубене́ц м 5*b
ве́нец мо 5*a (_житель Вены_)
вене́ц м 5*b (_корона; ряд бревен в срубе и др._)
иждиве́нец мо 5*a
слове́нец мо 5*a
пе́рвенец мо 5*a
копенга́генец мо 5*a
геттинге́нец мо 5*a
ме́ч-кладене́ц м, 4b + 5*b
младе́нец мо 5*a
переведе́нец мо 5*a
разведе́нец мо 5*a
сведе́нец мо 5*a
выведе́нец мо 5*a
ледене́ц м 5*b
перерожде́нец мо 5*a
вырожде́нец мо 5*a
дре́зденец мо 5*a
пораже́нец мо 5*a
са́женец м 5*a
снабже́нец мо 5*a
бе́женец мо 5*a
двоеже́нец мо 5*a
троеже́нец мо 5*a
движе́нец мо 5*a
выдвиже́нец мо 5*a
постри́женец мо 5*a
многоже́нец мо 5*a
разложе́нец мо 5*a
уроже́нец мо 5*a
приве́рженец мо 5*a
отве́рженец мо 5*a
пря́женец м 5*a
пе́нзенец мо 5*a
сие́нец мо 5*a
приспособле́нец мо 5*a
правле́нец мо 5*a
управле́нец мо 5*a
